0.007733, 1.965539, 1.323103, 21.825678, 4.048556, 5.179025
0.015466, 1.517124, 1.332969, 15.778209, 3.442272, 4.624586
0.023198, 1.317509, 1.363868, 12.280352, 3.036838, 4.274927
0.030931, 1.204499, 1.389338, 10.146053, 2.760354, 4.030126
0.038664, 1.131982, 1.412037, 8.773471, 2.566859, 3.836261
0.046397, 1.081070, 1.432899, 7.840704, 2.426576, 3.695612
0.054130, 1.042671, 1.451948, 7.171100, 2.320648, 3.579926
0.061862, 1.012135, 1.469285, 6.664452, 2.237167, 3.476699
0.069595, 0.987035, 1.485264, 6.265040, 2.169093, 3.389859
0.077328, 0.965888, 1.500105, 5.937723, 2.111671, 3.321459
0.085061, 0.947675, 1.513890, 5.661993, 2.062058, 3.256447
0.092794, 0.931701, 1.526693, 5.425012, 2.018444, 3.199088
0.100526, 0.917502, 1.538624, 5.217969, 1.979553, 3.147325
0.108259, 0.904761, 1.549804, 5.034473, 1.944434, 3.098376
0.115992, 0.893243, 1.560345, 4.870166, 1.912442, 3.054520
0.123725, 0.882764, 1.570332, 4.721797, 1.883085, 3.015643
0.131458, 0.873177, 1.579836, 4.586864, 1.855984, 2.978725
0.139191, 0.864361, 1.588912, 4.463404, 1.830836, 2.943715
0.146923, 0.856221, 1.597609, 4.349842, 1.807395, 2.910446
0.154656, 0.848676, 1.605970, 4.244957, 1.785472, 2.878672
0.162389, 0.841660, 1.614030, 4.216936, 1.764920, 2.848522
0.170122, 0.835117, 1.621820, 4.286056, 1.745562, 2.820419
0.177855, 0.829000, 1.629366, 4.342374, 1.727277, 2.797566
0.185587, 0.823266, 1.636690, 4.443726, 1.709962, 2.775115
0.193320, 0.817880, 1.643811, 4.545005, 1.693530, 2.752761
0.201053, 0.812812, 1.650747, 4.633830, 1.677903, 2.730218
0.208786, 0.808033, 1.657511, 4.708375, 1.663015, 2.707229
0.216519, 0.803520, 1.664117, 4.766831, 1.648807, 2.688879
0.224251, 0.799252, 1.670577, 4.807378, 1.635228, 2.672457
0.231984, 0.795209, 1.676901, 4.868651, 1.622231, 2.654837
0.239717, 0.791375, 1.683097, 4.992571, 1.609775, 2.635792
0.247450, 0.787736, 1.689176, 5.102205, 1.597823, 2.620603
0.255183, 0.784277, 1.695143, 5.194051, 1.586340, 2.606050
0.262915, 0.780987, 1.701006, 5.264497, 1.575298, 2.589402
0.270648, 0.777855, 1.706772, 5.309853, 1.564668, 2.572412
0.278381, 0.774871, 1.712445, 5.347679, 1.554424, 2.560182
0.286114, 0.772025, 1.718030, 5.424278, 1.544545, 2.547235
0.293847, 0.769311, 1.723532, 5.542053, 1.535008, 2.532047
0.301579, 0.766720, 1.728955, 5.631011, 1.525795, 2.521585
0.309312, 0.764245, 1.734303, 5.684534, 1.516889, 2.507751
0.317045, 0.761880, 1.739579, 5.800686, 1.508272, 2.493753
0.324778, 0.759620, 1.744786, 5.896388, 1.499930, 2.485682
0.332511, 0.757458, 1.749927, 5.952449, 1.491849, 2.473503
0.340243, 0.755391, 1.755004, 5.970123, 1.484017, 2.461397
0.347976, 0.753414, 1.760020, 6.068847, 1.476421, 2.451878
0.355709, 0.751522, 1.764977, 6.123725, 1.469051, 2.440230
0.363442, 0.749712, 1.769877, 6.180215, 1.461896, 2.431882
0.371175, 0.747979, 1.774722, 6.305574, 1.454947, 2.420057
0.378907, 0.746322, 1.779513, 6.424032, 1.448195, 2.411158
0.386640, 0.744736, 1.784253, 6.482391, 1.441632, 2.403565
0.394373, 0.743219, 1.788943, 6.566949, 1.435250, 2.390945
0.402106, 0.741768, 1.793584, 6.674321, 1.429041, 2.385000
0.409839, 0.740381, 1.798177, 6.712275, 1.422999, 2.375704
0.417572, 0.739055, 1.802724, 6.780206, 1.417117, 2.366861
0.425304, 0.737788, 1.807226, 6.865126, 1.411389, 2.359292
0.433037, 0.736578, 1.811684, 6.870764, 1.405810, 2.351194
0.440770, 0.735423, 1.816098, 6.945529, 1.400374, 2.342335
0.448503, 0.734322, 1.820471, 7.051782, 1.395076, 2.334542
0.456236, 0.733273, 1.824803, 7.100004, 1.389912, 2.328660
0.463968, 0.732274, 1.829094, 7.264443, 1.384876, 2.317468
0.471701, 0.731323, 1.833346, 7.331107, 1.379965, 2.314305
0.479434, 0.730420, 1.837560, 7.421480, 1.375174, 2.304373
0.487167, 0.729563, 1.841736, 7.532867, 1.370500, 2.299670
0.494900, 0.728752, 1.845874, 7.531962, 1.365938, 2.293522
0.502632, 0.727984, 1.849976, 7.684551, 1.361486, 2.286309
0.510365, 0.727259, 1.854043, 7.719478, 1.357140, 2.287541
0.518098, 0.726575, 1.858074, 7.794349, 1.352897, 2.281726
0.525831, 0.725933, 1.862071, 7.865136, 1.348754, 2.279595
0.533564, 0.725331, 1.866033, 7.870080, 1.344708, 2.275137
0.541296, 0.724768, 1.869963, 7.972300, 1.340757, 2.270083
0.549029, 0.724243, 1.873860, 7.949646, 1.336897, 2.266822
0.556762, 0.723757, 1.877724, 8.152618, 1.333127, 2.259365
0.564495, 0.723307, 1.881557, 8.200509, 1.329443, 2.257051
0.572228, 0.722894, 1.885359, 8.353199, 1.325845, 2.251299
0.579960, 0.722518, 1.889130, 8.426945, 1.322329, 2.251040
0.587693, 0.722176, 1.892871, 8.530450, 1.318907, 2.248658
0.595426, 0.721870, 1.896582, 8.625810, 1.315567, 2.247301
0.603159, 0.721598, 1.900263, 8.687452, 1.312305, 2.244504
0.610892, 0.721360, 1.903916, 8.799580, 1.309118, 2.242506
0.618624, 0.721155, 1.907540, 8.826896, 1.306004, 2.238951
